PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40054026,Dataset-free weight-initialization on restricted Boltzmann machine.,2025 Feb 26,['Ryosuke Maeno'],"['Techno Provide Inc., Honcho 1-1-8, Aoba-ku, Sendai, 980-0014, Miyagi, Japan.']",muneki@yz.yamagata-u.ac.jp
40054011,Prediction of preoperative tumor-related epilepsy using XGBoost radiomics models with 4 MRI sequences.,2025 Mar 07,['N/A'],['N/A'],N/A
40053984,Switching Two-Dimensional Sliding Ferroelectrics by Mechanical Bending.,2025 Feb 21,['N/A'],['N/A'],N/A
40053865,Identification of Novel Fourth-Generation Allosteric Inhibitors Targeting Inactive State of EGFR T790M/L858R/C797S and T790M/L858R Mutations: A Combined Machine Learning and Molecular Dynamics Approach.,2025 Mar 07,['N/A'],['N/A'],N/A
40053853,Limiting the gamble: Risk and predictability for renal replacement therapy in patients receiving mechanical circulatory support★.,2025,"['Brett Wester', 'Tiffany Otero', 'Shaun Yockelson', 'Adrian Alexis Ruiz', 'Bobby D Nossaman']","['Critical Care Section, Anesthesiology & Perioperative Medicine, Ochsner Health, 1514 Jefferson Highway, New Orleans, Louisiana 70121, USA.']",N/A
40053846,"Multitask Deep Learning Models of Combined Industrial Absorption, Distribution, Metabolism, and Excretion Datasets to Improve Generalization.",2025 Mar 07,"['Joseph A Napoli', 'Michael Reutlinger', 'Patricia Brandl', 'Wenyi Wang', 'Jérôme Hert', 'Prashant Desai']","['F. Hoffmann-La Roche Ltd., Pharma Research & Early Development (pRED), Roche Innovation Center Basel, Grenzacherstrasse 124, 4070 Basel, Switzerland.', 'Drug Metabolism & Pharmacokinetics (DMPK), Genentech, Inc., 1 DNA Way, South San Francisco, California 94080, United States.']",N/A
40053821,Correlation of noninvasive imaging of tumour-infiltrating lymphocytes with survival and BCG immunotherapy response in patients with bladder cancer: a multicentre cohort study.,2025 Jan 01,['N/A'],['N/A'],N/A
40053805,Performance Improvement of a Natural Language Processing Tool for Extracting Patient Narratives Related to Medical States From Japanese Pharmaceutical Care Records by Increasing the Amount of Training Data: Natural Language Processing Analysis and Validation Study.,2025 Mar 04,['N/A'],['N/A'],N/A
40053794,Machine Learning-Based Prediction of Early Complications Following Surgery for Intestinal Obstruction: Multicenter Retrospective Study.,2025 Mar 03,['Dong Yang'],"['Guangzhou AI & Data Cloud Technology Co., Guangzhou, China.']",N/A
40053791,Machine Learning Models With Prognostic Implications for Predicting Gastrointestinal Bleeding After Coronary Artery Bypass Grafting and Guiding Personalized Medicine: Multicenter Cohort Study.,2025 Mar 06,['N/A'],['N/A'],N/A
